date,value,flag
Sat Jun 02 2018 02:45:00 GMT-0400 (Eastern Daylight Time),1208,
Sat Jun 02 2018 02:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 03:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 03:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 03:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 03:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 03:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 03:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 03:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 03:45:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 04:00:00 GMT-0400 (Eastern Daylight Time),1518,
Sat Jun 02 2018 04:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 04:15:00 GMT-0400 (Eastern Daylight Time),433,
Sat Jun 02 2018 04:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 04:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 04:30:00 GMT-0400 (Eastern Daylight Time),208,
Sat Jun 02 2018 04:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 04:45:00 GMT-0400 (Eastern Daylight Time),327,
Sat Jun 02 2018 05:00:00 GMT-0400 (Eastern Daylight Time),228,
Sat Jun 02 2018 05:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 05:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 05:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 05:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 05:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 05:45:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 05:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 06:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 06:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 06:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 06:15:00 GMT-0400 (Eastern Daylight Time),1960,
Sat Jun 02 2018 06:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 06:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 06:45:00 GMT-0400 (Eastern Daylight Time),594,
Sat Jun 02 2018 06:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 07:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 07:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 07:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 07:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 07:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 07:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 07:45:00 GMT-0400 (Eastern Daylight Time),1531,
Sat Jun 02 2018 07:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 08:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 08:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 08:15:00 GMT-0400 (Eastern Daylight Time),480,
Sat Jun 02 2018 08:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 08:30:00 GMT-0400 (Eastern Daylight Time),365,
Sat Jun 02 2018 08:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 08:45:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 08:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 09:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 09:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 09:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 09:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 09:30:00 GMT-0400 (Eastern Daylight Time),1624,
Sat Jun 02 2018 09:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 09:45:00 GMT-0400 (Eastern Daylight Time),334,
Sat Jun 02 2018 09:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 10:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 10:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 10:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 10:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 10:30:00 GMT-0400 (Eastern Daylight Time),923,
Sat Jun 02 2018 10:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 10:45:00 GMT-0400 (Eastern Daylight Time),468,
Sat Jun 02 2018 10:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 11:00:00 GMT-0400 (Eastern Daylight Time),368,
Sat Jun 02 2018 11:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 11:15:00 GMT-0400 (Eastern Daylight Time),380,
Sat Jun 02 2018 11:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 11:30:00 GMT-0400 (Eastern Daylight Time),316,
Sat Jun 02 2018 11:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 11:45:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 11:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 12:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 12:00:00 GMT-0400 (Eastern Daylight Time),543,
Sat Jun 02 2018 12:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 12:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 12:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 12:30:00 GMT-0400 (Eastern Daylight Time),584,
